______________________________________________________________________
  Epoch        Train.MAPE           Val.MAPE         Time (in sec)    
______________________________________________________________________
    1            25.206              25.190              22.283       
    2            12.171              12.298              22.298       
    3            7.929               7.945               22.283       
    4            7.323               7.260               22.283       
    5            7.155               7.039               22.283       
    6            6.806               6.685               22.298       
    7            6.809               6.684               22.283       
    8            6.732               6.735               22.298       
    9            6.654               6.651               22.283       
    10           7.266               7.252               22.298       
    11           6.113               6.083               22.283       
    12           6.816               6.666               22.649       
    13           5.906               5.752               22.511       
    14           6.685               6.666               22.438       
    15           7.126               7.081               22.447       
    16           7.043               6.985               22.283       
    17           5.732               5.678               22.298       
    18           11.016              11.058              22.283       
    19           7.843               7.585               22.298       
    20           5.955               5.810               22.283       
    21           5.539               5.474               22.298       
    22           12.080              12.104              22.298       
    23           5.611               5.519               22.298       
    24           5.662               5.579               22.283       
    25           7.675               7.606               22.298       
    26           4.800               4.745               22.299       
    27           5.130               5.133               22.282       
    28           4.792               4.693               22.283       
    29           4.652               4.569               22.298       
    30           4.211               4.164               22.298       
    31           4.149               4.076               22.283       
    32           3.503               3.433               22.298       
    33           3.365               3.372               22.283       
    34           3.204               3.166               22.298       
    35           3.255               3.183               22.283       
    36           2.779               2.756               22.298       
    37           4.258               4.186               22.283       
    38           3.089               3.090               22.298       
    39           2.629               2.611               22.283       
    40           3.057               3.041               22.298       
    41           2.673               2.647               22.283       
    42           3.376               3.397               22.298       
    43           3.269               3.241               22.283       
    44           2.503               2.520               22.283       
    45           2.745               2.749               22.298       
    46           3.057               3.089               22.283       
    47           2.820               2.853               22.298       
    48           3.010               2.984               22.283       
    49           3.318               3.337               22.283       
    50           4.870               4.833               22.298       
    51           3.190               3.201               22.283       
    52           2.629               2.643               22.283       
    53           2.349               2.365               22.298       
    54           2.697               2.705               22.283       
    55           2.786               2.776               22.298       
    56           2.917               2.942               22.283       
    57           2.999               2.998               22.298       
    58           2.701               2.717               22.283       
    59           8.319               8.290               22.283       
    60           2.540               2.540               22.298       
    61           5.132               5.104               22.283       
    62           2.527               2.536               22.283       
    63           2.342               2.358               22.298       
    64           2.824               2.831               22.298       
    65           2.206               2.225               22.283       
    66           2.442               2.441               22.298       
    67           2.318               2.331               22.283       
    68           2.770               2.736               22.298       
    69           2.753               2.753               22.283       
    70           2.313               2.348               22.298       
    71           2.164               2.164               22.283       
    72           2.071               2.086               22.298       
    73           2.485               2.512               22.283       
    74           2.395               2.398               22.298       
    75           2.728               2.712               22.283       
    76           2.630               2.658               22.298       
    77           3.135               3.122               22.283       
    78           2.013               2.012               22.298       
    79           3.251               3.250               22.283       
    80           2.127               2.133               22.298       
    81           2.280               2.281               22.283       
    82           2.655               2.668               22.283       
    83           2.955               2.946               22.298       
    84           2.186               2.176               22.283       
    85           3.811               3.820               22.298       
    86           2.502               2.478               22.283       
    87           2.038               2.038               22.298       
    88           2.060               2.040               22.283       
    89           2.388               2.392               22.283       
    90           2.774               2.777               22.283       
    91           2.951               2.971               22.283       
    92           1.981               1.993               22.298       
    93           2.957               2.907               22.283       
    94           2.907               2.884               22.292       
    95           2.347               2.334              115.522       
