__________________________________________________
Iteration   Train.Loss (MSE)     Time (in sec)    
__________________________________________________
    1            17.132              0.125        
    2            14.886              0.141        
    3            11.881              0.141        
    4            17.244              0.125        
    5            14.903              0.141        
    6            12.575              0.125        
    7            13.184              0.141        
    8            14.344              0.125        
    9            14.594              0.125        
    10           13.233              0.141        
    11           11.310              0.125        
    12           14.413              0.141        
    13           17.393              0.125        
    14           13.570              0.125        
    15           13.379              0.141        
    16           14.403              0.125        
    17           16.146              0.141        
    18           13.692              0.125        
    19           14.109              0.141        
    20           15.887              0.141        
    21           13.918              0.125        
    22           16.648              0.141        
    23           14.136              0.125        
    24           15.956              0.141        
    25           14.303              0.141        
    26           13.107              0.125        
    27           13.264              0.141        
    28           12.425              0.125        
    29           13.184              0.141        
    30           14.276              0.141        
    31           14.408              0.125        
    32           12.733              0.141        
    33           11.892              0.125        
    34           13.333              0.141        
    35           12.576              0.141        
    36           10.961              0.125        
    37           10.513              0.141        
    38           11.646              0.125        
    39           9.886               0.141        
    40           7.725               0.125        
    41           6.234               0.125        
    42           3.376               0.141        
    43           3.457               0.125        
    44           4.529               0.141        
    45           5.134               0.125        
    46           4.325               0.125        
    47           3.472               0.141        
    48           2.519               0.125        
    49           1.775               0.141        
    50           3.900               0.125        
    51           2.356               0.141        
    52           3.875               0.141        
    53           3.118               0.125        
    54           2.145               0.141        
    55           1.604               0.125        
    56           1.701               0.141        
    57           1.811               0.141        
    58           1.856               0.125        
    59           2.399               0.141        
    60           2.155               0.125        
    61           1.980               0.141        
    62           1.452               0.141        
    63           1.164               0.125        
    64           1.868               0.141        
    65           1.370               0.125        
    66           1.386               0.141        
    67           1.349               0.141        
    68           2.445               0.125        
    69           2.564               0.141        
    70           1.457               0.125        
    71           2.036               0.141        
    72           1.768               0.141        
    73           1.862               0.125        
    74           1.793               0.141        
    75           1.521               0.125        
    76           1.377               0.141        
    77           1.820               0.125        
    78           1.024               0.125        
    79           1.434               0.141        
    80           1.846               0.125        
    81           0.787               0.141        
    82           1.180               0.125        
    83           1.212               0.125        
    84           1.143               0.141        
    85           1.706               0.125        
    86           1.329               0.141        
    87           1.202               0.125        
    88           1.328               0.141        
    89           0.998               0.141        
    90           0.826               0.125        
    91           1.374               0.141        
    92           1.506               0.125        
    93           2.380               0.141        
    94           0.867               0.141        
    95           0.973               0.125        
    96           1.053               0.141        
    97           1.434               0.125        
    98           1.223               0.141        
    99           0.983               0.141        
   100           1.466               0.125        
   101           1.311               0.141        
   102           0.764               0.125        
   103           0.830               0.141        
   104           1.061               0.141        
   105           1.130               0.125        
   106           0.960               0.141        
   107           0.773               0.125        
   108           0.837               0.141        
   109           0.959               0.141        
   110           1.142               0.125        
   111           1.195               0.141        
   112           1.170               0.125        
   113           0.675               0.141        
   114           0.843               0.141        
   115           0.756               0.125        
   116           1.045               0.141        
   117           0.903               0.125        
   118           0.953               0.141        
   119           0.934               0.125        
   120           0.840               0.125        
   121           0.643               0.141        
   122           1.171               0.125        
   123           0.834               0.141        
   124           0.747               0.125        
   125           1.218               0.125        
   126           0.782               0.141        
   127           1.015               0.141        
   128           1.011               0.125        
   129           0.863               0.141        
   130           0.970               0.125        
   131           0.712               0.141        
   132           0.522               0.141        
   133           1.170               0.125        
   134           1.006               0.141        
   135           0.801               0.125        
   136           0.959               0.141        
   137           1.125               0.141        
   138           0.608               0.125        
   139           0.683               0.141        
   140           0.996               0.125        
   141           0.973               0.141        
   142           0.717               0.141        
   143           0.554               0.125        
   144           0.956               0.141        
   145           1.109               0.125        
   146           1.091               0.141        
   147           0.592               0.141        
   148           0.940               0.125        
   149           0.683               0.141        
   150           0.735               0.125        
   151           0.515               0.141        
   152           1.014               0.125        
   153           0.385               0.125        
   154           0.250               0.141        
   155           0.660               0.125        
   156           0.556               0.141        
   157           0.488               0.125        
   158           0.719               0.125        
   159           0.630               0.141        
   160           0.585               0.125        
   161           0.674               0.141        
   162           0.914               0.125        
   163           0.632               0.141        
   164           0.525               0.141        
   165           0.785               0.125        
   166           0.603               0.141        
   167           0.785               0.125        
   168           0.560               0.141        
   169           0.734               0.141        
   170           0.641               0.125        
   171           0.609               0.141        
   172           0.471               0.125        
   173           0.625               0.141        
   174           0.503               0.141        
   175           0.583               0.125        
   176           0.453               0.141        
   177           0.614               0.125        
   178           0.888               0.141        
   179           0.531               0.141        
   180           0.567               0.125        
   181           0.418               0.141        
   182           0.787               0.125        
   183           0.236               0.141        
   184           0.769               0.125        
   185           0.507               0.125        
   186           0.685               0.141        
   187           0.612               0.125        
   188           0.648               0.141        
   189           0.528               0.125        
   190           0.329               0.141        
   191           0.629               0.141        
   192           0.437               0.125        
   193           0.496               0.141        
   194           0.440               0.125        
   195           0.504               0.141        
   196           0.416               0.141        
   197           0.328               0.125        
   198           0.325               0.141        
   199           0.234               0.125        
   200           0.492               0.141        
   201           0.476               0.141        
   202           0.389               0.125        
   203           0.258               0.141        
   204           0.493               0.125        
   205           0.281               0.141        
   206           0.322               0.141        
   207           0.555               0.125        
   208           0.270               0.141        
   209           0.277               0.125        
   210           0.304               0.141        
   211           0.362               0.125        
   212           0.388               0.125        
   213           0.219               0.141        
   214           0.354               0.125        
   215           0.205               0.141        
   216           0.156               0.125        
   217           0.385               0.125        
   218           0.269               0.141        
   219           0.191               0.125        
   220           0.292               0.141        
   221           0.479               0.125        
   222           0.116               0.141        
   223           0.332               0.141        
   224           0.225               0.125        
   225           0.475               0.141        
   226           0.167               0.125        
   227           0.243               0.141        
   228           0.143               0.141        
   229           0.408               0.125        
   230           0.238               0.141        
   231           0.221               0.125        
   232           0.201               0.141        
   233           0.328               0.141        
   234           0.231               0.125        
   235           0.149               0.141        
   236           0.271               0.125        
   237           0.152               0.141        
   238           0.250               0.125        
   239           0.244               0.125        
   240           0.261               0.141        
   241           0.329               0.125        
   242           0.266               0.141        
   243           0.244               0.125        
   244           0.343               0.125        
   245           0.318               0.141        
   246           0.391               0.125        
   247           0.206               0.141        
   248           0.198               0.125        
   249           0.551               0.125        
   250           0.278               0.141        
   251           0.210               0.125        
   252           0.298               0.141        
   253           0.245               0.125        
   254           0.346               0.125        
   255           0.433               0.141        
   256           0.172               0.125        
   257           0.187               0.141        
   258           0.186               0.125        
   259           0.287               0.141        
   260           0.244               0.141        
   261           0.154               0.125        
   262           0.232               0.141        
   263           0.316               0.125        
   264           0.204               0.141        
   265           0.207               0.141        
   266           0.176               0.125        
   267           0.213               0.141        
   268           0.284               0.125        
   269           0.126               0.141        
   270           0.240               0.141        
   271           0.291               0.125        
   272           0.200               0.141        
   273           0.283               0.125        
   274           0.183               0.141        
   275           0.315               0.141        
   276           0.200               0.125        
   277           0.218               0.141        
   278           0.242               0.125        
   279           0.251               0.141        
   280           0.200               0.141        
   281           0.247               0.125        
   282           0.247               0.141        
   283           0.190               0.125        
   284           0.145               0.141        
   285           0.307               0.125        
   286           0.074               0.125        
   287           0.231               0.141        
   288           0.342               0.125        
   289           0.239               0.141        
   290           0.275               0.125        
   291           0.244               0.141        
   292           0.096               0.141        
   293           0.207               0.125        
   294           0.336               0.141        
   295           0.232               0.125        
   296           0.320               0.141        
   297           0.191               0.141        
   298           0.491               0.125        
   299           0.147               0.141        
   300           0.112               0.125        
   301           0.396               0.141        
   302           0.212               0.141        
   303           0.250               0.125        
   304           0.180               0.141        
   305           0.205               0.125        
   306           0.199               0.141        
   307           0.103               0.141        
   308           0.129               0.125        
   309           0.226               0.141        
   310           0.183               0.125        
   311           0.345               0.141        
   312           0.208               0.125        
