______________________________________________________________________
  Epoch        Train.MAPE           Val.MAPE         Time (in sec)    
______________________________________________________________________
    1            16.509              16.301              24.705       
    2            9.693               9.460               22.220       
    3            9.393               9.162               22.314       
    4            10.057              9.926               22.298       
    5            10.753              10.691              22.298       
    6            9.334               9.128               22.377       
    7            9.676               9.531               22.377       
    8            8.791               8.602               22.377       
    9            8.065               7.896               22.377       
    10           6.417               6.197               22.377       
    11           8.958               9.007               22.377       
    12           6.161               5.792               22.377       
    13           5.204               4.974               22.392       
    14           4.799               4.679               22.377       
    15           4.161               4.073               22.377       
    16           4.044               3.933               22.377       
    17           3.613               3.594               22.377       
    18           3.770               3.700               22.377       
    19           3.628               3.641               22.377       
    20           3.764               3.706               22.392       
    21           3.874               3.861               22.361       
    22           3.472               3.496               22.377       
    23           3.496               3.473               22.377       
    24           3.481               3.497               22.377       
    25           3.314               3.303               22.392       
    26           3.560               3.535               22.377       
    27           3.069               3.111               22.377       
    28           3.004               3.033               22.377       
    29           3.308               3.350               22.377       
    30           3.080               3.127               22.377       
    31           3.087               3.127               22.377       
    32           2.929               2.917               22.377       
    33           3.098               3.149               22.377       
    34           2.928               2.966               22.377       
    35           2.926               2.940               22.377       
    36           3.376               3.387               22.377       
    37           2.965               3.010               22.377       
    38           2.810               2.844               22.377       
    39           2.935               2.981               22.377       
    40           3.232               3.279               22.377       
    41           2.779               2.824               22.377       
    42           3.100               3.150               22.377       
    43           2.792               2.844               22.377       
    44           2.821               2.829               22.377       
    45           2.773               2.789               22.377       
    46           2.957               3.005               22.360       
    47           2.765               2.809               22.392       
    48           3.341               3.315               22.377       
    49           3.097               3.105               22.377       
    50           2.719               2.775               22.377       
    51           2.649               2.681               22.377       
    52           2.774               2.800               22.377       
    53           2.771               2.830               22.377       
    54           2.702               2.749               22.377       
    55           3.054               3.075               22.377       
    56           2.965               3.004               22.377       
    57           2.647               2.694               22.377       
    58           2.713               2.763               22.377       
    59           2.780               2.836               22.392       
    60           2.702               2.768               22.377       
    61           2.807               2.810               22.377       
    62           2.946               2.954               22.377       
    63           2.595               2.641               22.377       
    64           2.826               2.855               22.377       
    65           2.940               2.994               22.377       
    66           2.816               2.836               22.377       
    67           3.117               3.119               22.361       
    68           2.551               2.597               22.377       
    69           3.171               3.211               22.377       
    70           2.560               2.611               22.377       
    71           2.503               2.551               22.392       
    72           2.617               2.671               22.376       
    73           2.489               2.535               22.377       
    74           2.564               2.619               22.377       
    75           2.510               2.551               22.377       
    76           2.514               2.531               22.377       
    77           2.747               2.800               22.377       
    78           2.582               2.632               22.377       
    79           3.009               3.025               22.377       
    80           2.574               2.617               22.377       
    81           2.491               2.547               22.377       
    82           2.473               2.515               22.379       
    83           2.406               2.436              445.253       
    84           2.393               2.435               22.314       
    85           2.389               2.438               22.345       
    86           2.840               2.861               22.377       
    87           2.452               2.490               22.365       
    88           2.822               2.813               22.377       
    89           3.163               3.122               22.361       
    90           2.334               2.376               22.439       
    91           2.275               2.319               22.486       
    92           2.528               2.534               22.470       
    93           2.713               2.726               22.517       
    94           2.386               2.403               22.470       
    95           2.546               2.539               22.470       
    96           2.429               2.455               22.455       
    97           2.307               2.322               22.470       
    98           2.259               2.306               22.471       
    99           2.218               2.267               22.470       
   100           2.295               2.314               22.455       
   101           2.500               2.502               22.470       
   102           2.594               2.631               22.470       
   103           2.213               2.220               22.455       
   104           2.098               2.132               22.470       
