__________________________________________________
Iteration   Train.Loss (MSE)     Time (in sec)    
__________________________________________________
    1            64.487              1.469        
    2            61.374              0.141        
    3            76.958              0.141        
    4            67.401              0.125        
    5            80.646              0.125        
    6           102.968              0.140        
    7            56.095              0.125        
    8            85.518              0.125        
    9           143.784              0.141        
    10           70.039              0.125        
    11           85.465              0.125        
    12           55.446              0.141        
    13           78.219              0.140        
    14           64.696              0.141        
    15          119.829              0.140        
    16           50.957              0.125        
    17          107.804              0.125        
    18           60.970              0.141        
    19           63.782              0.140        
    20           46.950              0.125        
    21           52.682              0.141        
    22           53.416              0.141        
    23           51.967              0.125        
    24           63.973              0.141        
    25           27.959              0.141        
    26           25.728              0.125        
    27           35.248              0.125        
    28           23.555              0.140        
    29           24.428              0.141        
    30           18.250              0.125        
    31           12.550              0.141        
    32           10.262              0.141        
    33           1.934               0.125        
    34           1.160               0.141        
    35           0.607               0.141        
    36           0.625               0.141        
    37           0.758               0.140        
    38           1.025               0.125        
    39           1.181               0.141        
    40           1.184               0.141        
    41           1.779               0.141        
    42           1.219               0.140        
    43           1.116               0.125        
    44           1.446               0.141        
    45           0.999               0.140        
    46           1.704               0.140        
    47           1.323               0.141        
    48           1.151               0.125        
    49           1.131               0.125        
    50           1.107               0.125        
    51           0.921               0.141        
    52           1.056               0.140        
    53           1.001               0.141        
    54           0.895               0.141        
    55           1.100               0.125        
    56           1.621               0.125        
    57           1.025               0.141        
    58           1.089               0.141        
    59           1.466               0.141        
    60           1.488               0.141        
    61           1.426               0.141        
    62           1.266               0.141        
    63           1.084               0.125        
    64           1.102               0.125        
    65           1.442               0.141        
    66           1.203               0.141        
    67           1.240               0.141        
    68           1.383               0.140        
    69           1.258               0.141        
    70           1.094               0.141        
    71           1.015               0.125        
    72           1.341               0.141        
    73           1.857               0.140        
    74           1.106               0.141        
    75           0.991               0.141        
    76           0.930               0.141        
    77           0.957               0.125        
    78           1.857               0.141        
    79           0.884               0.140        
    80           1.184               0.141        
    81           1.859               0.141        
    82           1.072               0.141        
    83           1.456               0.125        
    84           0.889               0.141        
    85           1.153               0.141        
    86           1.623               0.141        
    87           1.535               0.141        
    88           1.347               0.125        
    89           1.680               0.141        
    90           1.633               0.140        
    91           1.355               0.125        
    92           1.303               0.141        
    93           1.200               0.141        
    94           1.247               0.142        
    95           1.323               0.140        
    96           1.566               0.141        
    97           0.574               0.125        
    98           0.976               0.141        
    99           0.735               0.125        
   100           0.433               0.141        
   101           0.843               0.125        
   102           0.633               0.125        
   103           0.663               0.141        
   104           0.631               0.125        
   105           0.558               0.141        
   106           0.704               0.125        
   107           0.545               0.140        
   108           0.833               0.141        
   109           0.685               0.125        
   110           0.576               0.141        
   111           0.510               0.125        
   112           0.444               0.141        
   113           0.483               0.125        
   114           0.582               0.141        
   115           0.551               0.125        
   116           0.533               0.125        
   117           0.632               0.141        
   118           0.434               0.125        
   119           0.447               0.141        
   120           0.646               0.125        
   121           0.568               0.141        
   122           0.672               0.125        
   123           0.522               0.141        
   124           0.305               0.125        
   125           0.459               0.125        
   126           0.653               0.141        
   127           0.626               0.125        
   128           0.535               0.141        
   129           0.362               0.125        
   130           0.401               0.125        
   131           0.752               0.141        
   132           0.742               0.125        
   133           0.538               0.141        
   134           0.485               0.125        
   135           0.542               0.141        
   136           0.685               0.125        
   137           0.432               0.141        
   138           0.456               0.125        
   139           0.613               0.125        
   140           0.547               0.141        
   141           0.412               0.125        
   142           0.514               0.141        
   143           0.407               0.125        
   144           0.428               0.141        
   145           0.298               0.125        
   146           0.438               0.141        
   147           0.502               0.125        
   148           0.344               0.141        
   149           0.445               0.141        
   150           0.578               0.125        
   151           0.350               0.141        
   152           0.446               0.125        
   153           0.287               0.141        
   154           0.373               0.125        
   155           0.455               0.141        
   156           0.550               0.125        
   157           0.312               0.141        
   158           0.368               0.125        
   159           0.369               0.141        
   160           0.404               0.141        
   161           0.399               0.125        
   162           0.410               0.141        
   163           0.575               0.125        
   164           0.413               0.141        
   165           0.317               0.125        
   166           0.379               0.141        
   167           0.430               0.125        
   168           0.238               0.141        
   169           0.417               0.125        
   170           0.439               0.125        
   171           0.466               0.141        
   172           0.383               0.125        
   173           0.468               0.141        
   174           0.302               0.125        
   175           0.424               0.141        
   176           0.406               0.125        
   177           0.217               0.141        
   178           0.379               0.125        
   179           0.395               0.125        
   180           0.338               0.141        
   181           0.533               0.125        
   182           0.310               0.141        
   183           0.353               0.125        
   184           0.359               0.141        
